1000;"Immateriella anläggningstillgångar"
1009;"Årets avskrivningar på immateriella anläggningstillgångar"
1110;"Byggnader"
1119;"Ackumulerade avskrivningar på byggnader"
1130;"Mark"
1150;"Markanläggningar"
1159;"Ackumulerade avskrivningar på markanläggningar "
1180;"Pågående nyanläggningar och förskott för byggnader och mark"
1220;"Maskiner och inventarier "
1221;"Årets nyanskaffning av maskiner och inventarier"
1222;"Årets ersättning för maskiner och inventarier"
1229;"Årets avskrivningar på maskiner och inventarier"
1230;"Byggnads- och markinventarier"
1231;"Årets nyanskaffning av byggnads- och markinventarier "
1232;"Årets ersättning för byggnads- och markinventarier "
1239;"Årets avskrivningar på byggnads- och markinventarier "
1240;"Bilar och andra transportmedel"
1241;"Årets nyanskaffning av bilar och andra transportmedel"
1242;"Årets ersättning för bilar och andra transportmedel"
1249;"Årets avskrivningar på bilar och andra transportmedel"
1300;"Andelar"
1400;"Lager"
1500;"Kundfordringar "
1600;"Övriga fordringar"
1650;"Momsfordran"
1700;"Förskott till leverantörer"
1910;"Kassa "
1920;"PlusGiro"
1930;"Företagskonto/checkkonto/affärskonto"
1940;"Övriga bankkonton"
1970;"Särskilda bankkonton "
2010;"Eget kapital, delägare 1 "
2011;"Egna varuuttag"
2012;"Avräkning för skatter och avgifter (skattekonto)"
2013;"Övriga egna uttag"
2014;"Uttag förmåner"
2017;"Egna insättningar"
2019;"Årets resultat, delägare 1"
2020;"Eget kapital, delägare 2"
2030;"Eget kapital, delägare 3"
2040;"Eget kapital, delägare 4"
2050;"Avsättning till expansionsfond"
2060;"Ersättningsfond"
2070;"Insatsemissioner, avbetalningsplan på skog, skogskonto, upphovsmannakonto"
2080;"Periodiseringsfonder"
2081;"Periodiseringsfond vid 2010 års taxering"
2082;"Periodiseringsfond vid 2011 års taxering"
2083;"Periodiseringsfond vid 2012 års taxering"
2084;"Periodiseringsfond vid 2013 års taxering"
2085;"Periodiseringsfond vid 2013 års taxering"
2086;"Periodiseringsfond vid 2014 års taxering U1"
2087;"Periodiseringsfond vid 2015 års taxering U1"
2088;"Periodiseringsfond vid 2016 års taxering U1"
2089;"Periodiseringsfond vid 2017 års taxering U1"
2090;"Utjämningskonto upplysningar 1-4"
2330;"Checkräkningskredit "
2350;"Skulder till kreditinstitut"
2390;"Övriga låneskulder"
2440;"Leverantörsskulder "
2610;"Utgående moms, 25 %"
2611;"Utgående moms på försäljning inom Sverige, 25 %"
2612;"Utgående moms på egna uttag, 25 % "
2613;"Utgående moms för uthyrning, 25 % "
2614;"Utgående moms omvänd skattskyldighet, 25 % "
2615;"Utgående moms import av varor, 25 %"
2618;"Vilande utgående moms, 25 %"
2620;"Utgående moms, 12 % "
2621;"Utgående moms på försäljning inom Sverige, 12 %"
2622;"Utgående moms på egna uttag, 12 %"
2623;"Utgående moms för uthyrning, 12 %"
2624;"Utgående moms omvänd skattskyldighet, 12 %"
2625;"Utgående moms import av varor, 12 %"
2628;"Vilande utgående moms, 12 %"
2630;"Utgående moms, 6 % "
2631;"Utgående moms på försäljning inom Sverige, 6 % "
2632;"Utgående moms på egna uttag, 6 % "
2633;"Utgående moms för uthyrning, 6 %"
2634;"Utgående moms omvänd skattskyldighet, 6 %"
2635;"Utgående moms import av varor, 6 %"
2638;"Vilande utgående moms, 6 %"
2640;"Ingående moms"
2641;"Debiterad ingående moms "
2642;"Debiterad ingående moms i anslutning till frivillig skattskyldighet "
2645;"Beräknad ingående moms på förvärv från utlandet "
2646;"Ingående moms på uthyrning "
2648;"Vilande ingående moms "
2649;"Ingående moms, blandad verksamhet "
2650;"Redovisningskonto för moms"
2660;"Särskilda punktskatter"
2710;"Personalskatt"
2730;"Lagstadgade/avtalade sociala avgifter och särskild löneskatt"
2900;"Övriga skulder"
3000;"Försäljning och utfört arbete samt övriga momspliktiga intäkter"
3100;"Momsfria intäkter"
3200;"Bil- och bostadsförmån m.m."
3500;"Fakturerade kostnader"
3700;"Lämnade rabatter, bonus etc."
3900;"Övriga rörelseintäkter"
3970;"Vinst vid avyttring av immateriella och materiella anläggningstillgångar"
3980;"Erhållna bidrag"
4000;"Varor"
4600;"Legoarbeten och underentreprenader"
4700;"Erhållna rabatter, bonus etc."
4900;"Förändring av lager"
5000;"Lokalkostnader"
5100;"Fastighetskostnader"
5200;"Hyra av anläggningstillgångar"
5400;"Förbrukningsinventarier och förbrukningsmaterial"
5500;"Reparation och underhåll"
5600;"Kostnader för transportmedel"
5610;"Personbilskostnader"
5611;"Drivmedel för personbilar "
5612;"Försäkring och skatt för personbilar"
5613;"Reparation och underhåll av personbilar"
5615;"Leasing av personbilar"
5618;"Schablonmässig milkostnad privat personbil"
5619;"Övriga personbilskostnader"
5620;"Lastbilskostnader"
5700;"Frakter och transporter"
5800;"Resekostnader"
