id,name,description,invoice_label,amount,type_tax_use,tax_group_id/id,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
mp1,MP1,Försäljning 25%,,25,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2610 Utgående moms, 25 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"2610 Utgående moms, 25 %",100
i,I,Inköp 25%,,25,purchase,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,2640 Ingående moms,100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,2640 Ingående moms,100
mp1i,MP1i,Försäljning 25% (ink),,25,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2610 Utgående moms, 25 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"2610 Utgående moms, 25 %",100
mp2,MP2,Försäljning 12%,,12,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2620 Utgående moms, 12 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"2620 Utgående moms, 12 %",100
mp2i,MP2i,Försäljning 12% (ink),,12,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2620 Utgående moms, 12 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"2620 Utgående moms, 12 %",100
mp3,MP3,Försäljning 6%,,6,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2630 Utgående moms, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"2630 Utgående moms, 6 %",100
mp3i,MP3i,Försäljning 6% (ink),,6,sale,l10n_se_extended.tax_group_25,base,invoice,,,100
,,,,,,,tax,invoice,,"2630 Utgående moms, 6 %",100
,,,,,,,base,refund,,,100
,,,,,,,tax,refund,,"2630 Utgående moms, 6 %",100
