id,code,name,account_type,reconcile,name@sv_SE
a1010,1010,Utvecklingsutgifter,asset_non_current,False,Utvecklingsutgifter
a1011,1011,Balanserade utgifter för utveckling,asset_non_current,False,Balanserade utgifter för utveckling
a1012,1012,Balanserade utgifter för programvaror,asset_non_current,False,Balanserade utgifter för programvaror
a1018,1018,Ackumulerade nedskrivningar på balanserade utgifter,asset_non_current,False,Ackumulerade nedskrivningar på balanserade utgifter
a1019,1019,Ackumulerade avskrivningar på balanserade utgifter,asset_non_current,False,Ackumulerade avskrivningar på balanserade utgifter
a1020,1020,Koncessioner m.m.,asset_non_current,False,Koncessioner m.m.
a1028,1028,Ackumulerade nedskrivningar på koncessioner m.m.,asset_non_current,False,Ackumulerade nedskrivningar på koncessioner m.m.
a1029,1029,Ackumulerade avskrivningar på koncessioner m.m.,asset_non_current,False,Ackumulerade avskrivningar på koncessioner m.m.
a1030,1030,Patent,asset_non_current,False,Patent
a1038,1038,Ackumulerade nedskrivningar på patent,asset_non_current,False,Ackumulerade nedskrivningar på patent
a1039,1039,Ackumulerade avskrivningar på patent,asset_non_current,False,Ackumulerade avskrivningar på patent
a1040,1040,Licenser,asset_non_current,False,Licenser
a1048,1048,Ackumulerade nedskrivningar på licenser,asset_non_current,False,Ackumulerade nedskrivningar på licenser
a1049,1049,Ackumulerade avskrivningar på licenser,asset_non_current,False,Ackumulerade avskrivningar på licenser
a1050,1050,Varumärken,asset_non_current,False,Varumärken
a1058,1058,Ackumulerade nedskrivningar på varumärken,asset_non_current,False,Ackumulerade nedskrivningar på varumärken
a1059,1059,Ackumulerade avskrivningar på varumärken,asset_non_current,False,Ackumulerade avskrivningar på varumärken
a1060,1060,"Hyresrätter, tomträtter och liknande",asset_non_current,False,"Hyresrätter, tomträtter och liknande"
a1068,1068,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande",asset_non_current,False,"Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande"
a1069,1069,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande",asset_non_current,False,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande"
a1070,1070,Goodwill,asset_non_current,False,Goodwill
a1078,1078,Ackumulerade nedskrivningar på goodwill,asset_non_current,False,Ackumulerade nedskrivningar på goodwill
a1079,1079,Ackumulerade avskrivningar på goodwill,asset_non_current,False,Ackumulerade avskrivningar på goodwill
a1080,1080,Förskott för immateriella anläggningstillgångar,asset_non_current,False,Förskott för immateriella anläggningstillgångar
a1081,1081,Pågående projekt för immateriella anläggningstillgångar,asset_non_current,False,Pågående projekt för immateriella anläggningstillgångar
a1088,1088,Förskott för immateriella anläggningstillgångar,asset_prepayments,False,Förskott för immateriella anläggningstillgångar
a1110,1110,Byggnader,asset_fixed,False,Byggnader
a1111,1111,Byggnader på egen mark,asset_fixed,False,Byggnader på egen mark
a1112,1112,Byggnader på annans mark,asset_fixed,False,Byggnader på annans mark
a1118,1118,Ackumulerade nedskrivningar på byggnader,asset_fixed,False,Ackumulerade nedskrivningar på byggnader
a1119,1119,Ackumulerade avskrivningar på byggnader,asset_fixed,False,Ackumulerade avskrivningar på byggnader
