"id","code","name","account_type","reconcile","note","name@sv_SE","tax_ids"
"a101","101","Internt upparbetade immateriella anläggningstillgångar","liability_non_current",False,"På kontot redovisas nedlagda utgifter för internt upparbetade immateriella anläggningstillgångar.","Internt upparbetade immateriella anläggningstillgångar",""
"a1018","1018","Ackumulerade nedskrivningar, internt upparbetade immateriella anläggningstillgångar","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, internt upparbetade immateriella anläggningstillgångar",""
"a1019","1019","Ackumulerade avskrivningar på internt upparbetade immateriella anläggningstillgångar","liability_non_current",False,"Motkonto • 791 Avskrivning på immateriella anläggningstillgångar","Ackumulerade avskrivningar på internt upparbetade immateriella anläggningstillgångar",""
"a102","102","Förvärvade immateriella anläggningstillgångar","liability_non_current",False,"På kontot redovisas utgifter för förvärvade immateriella anläggningstillgångar såsom koncessioner, patent, licenser och liknande rättigheter. Kontot kan vid behov underindelas.","Förvärvade immateriella anläggningstillgångar",""
"a1028","1028","Ackumulerade nedskrivningar, förvärvade immateriella anläggningstillgångar","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, förvärvade immateriella anläggningstillgångar",""
"a1029","1029","Ackumulerade avskrivningar på förvärvade immateriella anläggningstillgångar","liability_non_current",False,"Motkonto • 791 Avskrivning på immateriella anläggningstillgångar","Ackumulerade avskrivningar på förvärvade immateriella anläggningstillgångar",""
"a107","107","Pågående arbete, immateriella anläggningstillgångar","liability_non_current",False,"Detta konto används för redovisning av utgifter som avser pågående arbeten vid förvärv eller utveckling av immateriella tillgångar. När arbetena färdigställts och tillgången kan tas i bruk ska utgifterna överföras till respektive tillgångskonto (konto 101-102).","Pågående arbete, immateriella anläggningstillgångar",""
"a111","111","Markreserv","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet för kommunens markreserv inklusive bebyggda fastigheter och saneringsfastigheter där marken men inte byggnaden är avsedd för framtida bruk.","Markreserv",""
"a112","112","Verksamhetsfastigheter","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet av verksamhetsfastigheter. Till anskaffningsvärdet räknas även sådan utrustning som är nödvändig för fastighetens allmänna funktion. Med verksamhetsfastigheter avses anläggningar där kommunen bedriver annan service än affärsverksamhet, till exempel förvaltningshus, skolor och förskolor, äldreboenden och fritidsanläggningar (t.ex. konstgräsplaner, motions- och elljusspår). Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Verksamhetsfastigheter",""
"a1128","1128","Ackumulerade nedskrivningar, verksamhetsfastigheter","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anlägg-ningstillgångar","Ackumulerade nedskrivningar, verksamhetsfastigheter",""
"a1129","1129","Ackumulerade avskrivningar, verksamhetsfastigheter","liability_non_current",False,"Motkonto • 792 Avskrivning på mark, byggnader och anläggningar","Ackumulerade avskrivningar, verksamhetsfastigheter",""
"a113","113","Fastigheter för affärsverksamhet","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet av fastigheter för affärsverksamhet. Till anskaffningsvärdet räknas även sådan utrustning som är nödvändig för fastighetens allmänna funktion. Med affärsverksamhet avses anläggningar som vattenverk, renhållningsverk, fjärrvärmeverk, elverk, hamnar med mera. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Fastigheter för affärsverksamhet",""
"a1138","1138","Ackumulerade nedskrivningar, fastigheter för affärsverksamhet","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, fastigheter för affärsverksamhet",""
"a1139","1139","Ackumulerade avskrivningar, fastigheter för affärsverksamhet","liability_non_current",False,"Motkonto • 792 Avskrivning på mark, byggnader och anläggningar","Ackumulerade avskrivningar, fastigheter för affärsverksamhet",""
"a114","114","Publika fastigheter","liability_non_current",False,"På detta konto redovisas anskaffningsvärdet för publika fastigheter. Med publika fastigheter avses anläggningar för allmänt offentligt bruk som gator, vägar och parker. Nedskrivningar samt planenliga avskrivningar krediteras underkonto:","Publika fastigheter",""
"a1148","1148","Ackumulerade nedskrivningar, publika fastigheter","liability_non_current",False,"Motkonto • 795 Nedskrivning av immateriella och materiella anläggningstillgångar • 796 Återföring av nedskrivning av immateriella och materiella anläggningstillgångar","Ackumulerade nedskrivningar, publika fastigheter",""
